,##,units:g/kg,Carbon Dioxide,Carbon Monoxide,Methane,Nitrogen Oxides,Sulfur Dioxide,PM2.5 ,PM10,Ammonia,Total non-methane volatile organic compounds,Hydrogen Cyanide ,Formaldehyde ,Methanol ,Isocyanic Acid ,FormicAcid ,Ethyne ,Ethene ,Ethane ,Acetonitrile ,Acetaldehyde ,Ethanol ,Acetic Acid ,Glycolaldehyde ,Methyl Formate ,"1,1-Dimethylhydrazine ",Glycolic Acid ,Propyne ,Propylene ,Propane ,Acrylonitrile ,Propanenitrile ,Acrolein ,Acetone ,Propanal ,Acrylic Acid ,Ethyl Formate ,Methyl Acetate ,Pyruvic Acid ,"1,3-Butadiyne ",Butenyne ,"1,3-Butadiene ","1,2-Butadiene ","1-,2-Butyne ",trans-2-Butene ,1-Butene ,2-Methylpropene ,cis-2-Butene ,i-Butane ,n-Butane ,Pyrrole ,Furan ,Methacrolein ,Methyl Vinyl Ketone ,Crotonaldehyde ,"2,5-Dihydrofuran ",n-Butanal ,Methyl Ethyl Ketone ,2-Methylpropanal ,Tetrahydrofuran ,1-Butanol ,Cyclopentenone ,"2,3-Butadione ",Vinyl Acetate ,Methyl Acrylate ,"2,3-Dihydro-1,4-Dioxin ",Methyl Propanoate ,"1,3-CyclopentadienePIT ",Pentenyneisomers ,Isoprene ,"trans-1,3-Pentadiene ","cis-1,3-Pentadiene ",Cyclopentene ,Pentadieneisomer ,Cyclopentane ,1-Pentene ,2-Methyl-1-Butene ,trans-2-Pentene ,3-Methyl-1-Butene ,cis-2-Pentene ,2-Methyl-2-Butene ,"2,2-Dimethylpropane ",i-Pentane ,n-Pentane ,1-Methylpyrrole ,3-Methylfuran ,Other C6H10 ,1-Methylcyclopentane ,Pentenone ,Cyclopentanone ,2-Methyl-2-Butenal ,2-Methylbutanal ,3-Methyl-2-Butanone ,2-Pentanone ,3-Pentanone ,Methyl Diazine ,Methyl Diazine ,Methyl Diazine ,3-Furaldehyde ,2-Furaldehyde ,Cyclopentenedione ,Methyl Methacrylate ,Methyl Butanoate ,Benzene ,Divinylacetylene ,Methyl Cyclopentadiene ,Methyl Cyclopentadiene ,Hexenyne ,"cis-1,3-Hexadiene ","trans-1,3-Hexadiene ",1-Methylcyclopentene ,Cyclohexene ,Other C6H10 ,Other C6H10 ,Other C6H10 ,2-Methylfuran ,Other C6H10 ,1-Methylpyrazole ,2-Methyl-1-Pentene ,1-Hexene ,Cyclohexene ,Hexenes ,cis-2-Hexene ,"2,2-Dimethylbutane ",n-Hexane ,3-Methylpentane ,Phenol ,2-Ethylfuran ,"2,5-Dimethylfuran ",n-Hexanal ,3-Hexanone ,2-Hexanone ,2-Ethylpyrazine ,Resorcinol ,Toluene ,Heptadiyne ,Heptadiyne ,1-Methylcyclohexene ,1-Heptene ,1-Methylcyclohexane ,n-Heptane ,Benzenenitrile ,Benzaldehyde ,Ethynyl Benzene ,Styrene ,Ethylbenzene ,"m,p-Xylenes ",o-Xylene ,Octadiene ,1-Octene ,n-Octane ,Benzofuran ,Indene ,Indane ,1-Propenylbenzene ,alpha-Methylstyrene ,3-Methylstyrene ,2-Methylstyrene ,2-Propenylbenzene ,4-Methylstyrene ,"1-Ethyl-3-,4-Methylbenzene ","1,2,4-Trimethylbenzene ",1-Ethyl-2-Methylbenzene ,"1,2,3-Trimethylbenzene ",Isopropylbenzene ,n-Propylbenzene ,"1,3,5-Trimethylbenzene ",Nonadiene ,1-Nonene ,Nonane ,Methylbenzofuran ,Methylbenzofuran ,Methylbenzofuran ,Naphthalene ,"1-,3-MethylIndene ","1,2-Dihydronaphthalene ","1,3-Dihydronaphthalene ",1-Butenylbenzene ,Methylbenzofuran ,Ethylstyrene ,1-Methyl-1-Propenylbenzene ,p-Cymene ,C10H14 non-aromatic  ,Isobutylbenzene ,Methyl-n-Propylbenzene ,Methyl-n-Propylbenzene ,n-Butylbenzene ,"1,4-Diethylbenzene ",Ethyl Xylene ,Ethyl Xylene ,Monoterpenes ,beta-Pinene ,D-Limonene ,Myrcene ,3-Carene ,gamma-Terpinene ,Terpinolene ,alpha-Pinene ,Camphene ,iso-Limonene ,1-Decene ,n-Decane ,C11 Aromatics ,1-Undecene ,n-Undecane ,Sesquiterpenes 
Group #,# Cover Type,Type,CO2,CO,CH4,NOx as NO,SO2,PM2.5 ,PM10,NH3,NMOC,HCN,HCHO,CH3OH,HNCO,HCOOH,C2H2,C2H4,C2H6,CH3CN,CH3CHO,CH3CH2OH,CH3COOH,C2H4O2,C2H4O2,C2H8N2,C2H4O3,C3H4,C3H6,C3H8,C3H3N,C3H5N,C3H4O,C3H6O,C3H6O,C3H4O2,C3H6O2,C3H6O2,C3H4O3,C4H2,C4H4,C4H6,C4H6,C4H6,C4H8,C4H8,C4H8,C4H8,C4H10,C4H10,C4H5N,C4H4O,C4H6O,"MVK,C4H6O",C4H6O,C4H6O,C4H8O,"MEK,C4H8O",C4H8O,C4H8O,C4H10O,C5H6O,C4H6O2,C4H6O2,C4H6O2,C4H6O2,C4H8O2,C5H6,C5H6,C5H8,C5H8,C5H8,C5H8,C5H8,C5H10,C5H10,C5H10,C5H10,C5H10,C5H10,C5H10,C5H12,C5H12,C5H12,C5H7N,C5H6O,isomer 4,C6H12,C5H8O,C5H8O,C5H8O,C5H10O,C5H10O,C5H10O,C5H10O,"isomer1,C5H6N2","isomer2,C5H6N2","isomer3,C5H6N2",C5H4O2,C5H4O2,C5H4O2,C5H8O2,C5H10O2,C6H6,C6H6,"isomer 1,C6H8","isomer 2,C6H8",C6H8,C6H10,C6H10,C6H10,C6H10,isomer 1,isomer 2,isomer 3,C5H6O,isomer 5,C4H6N2,C6H12,C6H12,C6H12,"sum of 3 isomers, C6H12",C6H12,C6H14,C6H14,C6H14,C6H5OH,C6H8O,C6H8O,C6H12O,C6H12O,C6H12O,C6H8N2,C6H6O2,C6H5CH3,"isomer 1,C7H8","isomer 2,C7H8",C7H12,C7H14,C7H14,C7H16,C7H5N,C7H6O,C8H6,C8H8,C8H10,C8H10,C8H10,C8H14,C8H16,C8H18,C8H6O,C9H8,C9H10,C9H10,C9H10,C9H10,C9H10,C9H10,C9H10,C9H12,C9H12,C9H12,C9H12,C9H12,C9H12,C9H12,C9H16,C9H18,C9H20,"isomer 1,C9H8O","isomer 2,C9H8O","isomer 3,C9H8O",C10H8,C10H10,C10H10,C10H10,C10H14,"isomer 4,C9H8O",C10H12,C10H12,C10H14,C10H14,C10H14,"isomer 1,C10H14","isomer 2,C10H14",C10H14,C10H14,"isomer 1 ,C10H14","isomer 2,C10H14",C10H16,C10H16,C10H16,C10H16,C10H16,C10H16,C10H16,C10H16,C10H16,C10H16,C10H20,C10H22,C11,C11H22,C11H24,C15H24
1,Southeastern Forest,STFS,1703,76,2.32,1.7,1.06,12.58,14.8,0.14,16.046,0.613,1.681,0.986,0.09,0.116,0.362,1.09,0.288,0.032,0.641,0.012,1.489,0.305,0.014,0.02,0.028,0.056,0.426,0.094,0.054,0.007,0.323,0.651,0.088,0.029,0.005,0.007,0.014,0.001,0.002,0.258,0.001,0.01,0.035,0.131,0.053,0.028,0.01,0.036,0.006,0.178,0.039,0.058,0.181,0.001,0.032,0.098,0.021,0,0.063,0.004,0.167,0,0.005,0.002,0.003,0.028,0.002,0.14,0.023,0.01,0.045,0.002,0.002,0.03,0.019,0.016,0.014,0.009,0.024,0,0.028,0.007,0.002,0.018,0.153,0.058,0.317,0.087,0.005,0.026,0.011,0.022,0.018,0.009,0.004,0.002,0.013,0.067,0.007,0.022,0.011,0.283,0.002,0.006,0.006,0.002,0.001,0.004,0.003,0.009,0.007,0.001,0.001,0.007,0.003,0.001,0.035,0.036,0.001,0.04,0.013,0,0.012,0.003,0.282,0.009,0.031,0.023,0.018,0.007,0.004,1.009,0.199,0.001,0,0.006,0.025,0.003,0.008,0.038,0.168,0.004,0.04,0.039,0.08,0.025,0.018,0.022,0.008,0.083,0.012,0.004,0.001,0.002,0.01,0.006,0.004,0.005,0.021,0.071,0.006,0.047,0.001,0.005,0.02,0.002,0.008,0.019,0.008,0.014,0.02,0.199,0,0.004,0.005,0.002,0,0.002,0.009,0.002,0.002,0.005,0.006,0.005,0.008,0.002,0.006,0.003,0.253,0.052,0.06,0.002,0.009,0.001,0.003,0.094,0.008,0.003,0.011,0.019,0.084,0.014,0.016,0.05
2,Boreal Forest,STFS,1641,95,3.38,1,1.06,21.5,25.4,0.79,23.152,0.89,1.975,1.305,0.126,0.47,0.237,1.31,0.61,0.3,0.953,0.027,2.42,0.506,0.019,0.027,0.039,0.029,0.445,0.23,0.029,0.01,0.291,0.37,0.123,0.04,0.007,0.148,0.019,0.001,0.003,0.07,0.002,0.003,0.02,0.077,0.073,0.015,0.021,0.076,0.009,0.28,0.043,0.097,0.252,0.001,0.03,0.11,0.034,0,0.088,0.005,0.232,0,0.007,0.002,0.004,0.039,0.002,0.074,0.022,0.014,0.027,0.003,0.003,0.034,0.015,0.015,0.004,0.037,0.025,0.001,0.019,0.027,0.003,0.025,0.187,0.081,0.44,0.12,0.007,0.036,0.023,0.031,0.026,0.012,0.005,0.003,0.019,0.45,0.01,0.03,0.015,0.55,0.002,0.008,0.008,0.003,0.002,0.005,0.004,0.013,0.009,0.001,0.002,0.009,0.004,0.002,0.049,0.051,0.002,0.056,0.018,0,0.027,0.018,0.473,0.017,0.031,0.032,0.025,0.01,0.006,1.402,0.24,0.001,0,0.008,0.038,0.004,0.024,0.053,0.233,0.005,0.059,0.025,0.06,0.027,0.024,0.039,0.02,0.115,0.017,0.006,0.002,0.003,0.015,0.009,0.005,0.008,0.029,0.015,0.009,0.025,0.005,0.009,0.003,0.003,0.011,0.012,0.011,0.02,0.028,0.277,0,0.006,0.007,0.002,0,0.003,0.013,0.071,0.003,0.007,0.008,0.007,0.011,0.002,0.008,0.004,0.351,0.72,0.083,0.004,0.013,0.001,0.004,0.81,0.024,0.005,0.015,0.012,0.117,0.019,0.022,0.07
3,Western Forest - Rx,STFS,1598,105,4.86,2.06,1.06,17.57,20.7,1.53,26.975,0.765,2.235,2.515,0.147,0.184,0.312,1.381,0.665,0.215,1.119,0.239,3.02,0.725,0.022,0.032,0.046,0.033,0.723,0.242,0.034,0.012,0.342,0.575,0.144,0.047,0.009,0.174,0.023,0.001,0.003,0.181,0.002,0.004,0.046,0.145,0.086,0.038,0.09,0.126,0.01,0.49,0.064,0.309,0.296,0.001,0.035,0.175,0.04,0,0.103,0.006,0.272,0,0.008,0.003,0.005,0.045,0.003,0.096,0.026,0.016,0.032,0.003,0.004,0.04,0.017,0.018,0.005,0.043,0.03,0.001,0.041,0.055,0.004,0.03,0.219,0.095,0.517,0.141,0.008,0.042,0.027,0.036,0.03,0.014,0.006,0.003,0.022,0.528,0.012,0.035,0.017,0.3,0.003,0.01,0.01,0.004,0.002,0.006,0.004,0.015,0.011,0.001,0.002,0.011,0.005,0.002,0.057,0.06,0.002,0.066,0.021,0,0.032,0.005,0.8,0.02,0.036,0.038,0.029,0.012,0.007,1.647,0.229,0.002,0,0.01,0.045,0.004,0.026,0.062,0.274,0.006,0.069,0.056,0.144,0.05,0.029,0.046,0.023,0.135,0.02,0.007,0.002,0.003,0.017,0.01,0.006,0.009,0.033,0.036,0.01,0.033,0.006,0.01,0.015,0.003,0.013,0.014,0.013,0.023,0.033,0.325,0,0.007,0.008,0.003,0,0.004,0.015,0.083,0.004,0.008,0.009,0.008,0.012,0.003,0.009,0.005,0.413,0.026,0.097,0.004,0.015,0.002,0.005,0.052,0.028,0.006,0.018,0.014,0.138,0.023,0.025,0.082
4,Western Forest - WF,STFS,1600,135,7.32,2,1.06,23.2,27.4,1.5,33.874,0.54,2.248,2.061,0.198,0.505,0.376,1.825,1.077,0.289,1.5,0.32,4.461,0.916,0.03,0.043,0.061,0.044,0.698,0.509,0.045,0.016,0.458,0.77,0.193,0.062,0.011,0.234,0.03,0.001,0.004,0.243,0.003,0.005,0.061,0.194,0.115,0.05,0.121,0.168,0.014,0.483,0.086,0.414,0.396,0.002,0.047,0.234,0.054,0.001,0.138,0.009,0.364,0,0.01,0.004,0.007,0.061,0.004,0.129,0.035,0.022,0.043,0.005,0.005,0.054,0.023,0.024,0.007,0.058,0.04,0.001,0.056,0.074,0.005,0.04,0.294,0.127,0.693,0.189,0.011,0.056,0.036,0.049,0.04,0.019,0.008,0.004,0.029,0.707,0.016,0.047,0.023,0.402,0.003,0.013,0.013,0.005,0.003,0.008,0.006,0.021,0.014,0.001,0.002,0.015,0.006,0.003,0.077,0.08,0.003,0.088,0.028,0,0.042,0.007,0.865,0.027,0.048,0.051,0.039,0.016,0.01,2.206,0.307,0.002,0,0.013,0.06,0.006,0.035,0.084,0.367,0.008,0.093,0.075,0.193,0.068,0.039,0.061,0.031,0.181,0.027,0.009,0.003,0.004,0.023,0.013,0.008,0.012,0.045,0.048,0.014,0.044,0.008,0.014,0.02,0.004,0.017,0.019,0.018,0.031,0.044,0.435,0,0.009,0.01,0.004,0,0.005,0.02,0.111,0.005,0.011,0.012,0.01,0.017,0.004,0.012,0.007,0.553,0.035,0.131,0.006,0.02,0.002,0.007,0.07,0.038,0.008,0.024,0.018,0.184,0.03,0.034,0.11
5,Shrubland,STFS,1674,74,3.69,2.18,0.68,7.06,8.3,1.5,17.499,0.749,1.33,1.35,0.082,0.078,0.213,1.01,0.48,0.146,0.563,0.055,1.91,0.199,0.073,0.046,0.005,0.028,0.532,0.889,0.026,0.012,0.386,0.31,0.097,0.01,0.013,0.259,0.009,0.006,0.009,0.12,0.003,0.009,0.016,0.091,0.026,0.015,0.021,0.045,0.013,0.302,0.043,0.227,0.182,0.015,0.023,0.105,0.044,0.002,0.208,0.075,0.146,0,0.008,0.003,0.01,0.026,0.008,0.047,0.026,0.022,0.041,0.006,0.001,0.018,0.01,0.013,0.003,0.032,0.015,0,0.009,0.017,0.012,0.013,0.003,0.005,0.231,0.083,0.006,0.042,0.023,0.052,0.03,0.011,0.009,0.002,0.012,0.279,0.007,0.033,0.003,0.451,0.007,0.006,0.005,0.006,0.002,0.004,0.012,0.012,0.002,0.002,0.016,0.159,0.001,0.005,0.067,0.067,0.002,0.057,0.015,0,0.009,0.003,0.453,0.009,0.021,0.016,0.033,0.015,0.004,0.189,0.174,0.002,0.002,0.003,0.052,0.003,0.021,0.056,0.243,0.053,0.088,0.04,0.069,0.038,0.023,0.052,0.019,0.103,0.031,0.009,0.005,0.005,0.02,0.014,0.006,0.006,0.016,0.017,0.011,0.018,0.006,0.01,0.014,0.002,0.01,0.013,0.012,0.019,0.032,0.173,0.001,0.007,0.007,0.002,0.001,0.004,0.032,0.117,0.002,0.005,0.004,0.004,0.007,0.002,0.006,0.004,0.146,0.013,0.025,0.01,0.019,0.005,0.007,0.016,0.009,0,0.013,0.015,0.055,0.014,0.019,0.017
6,Grassland,STFS,1705,61,1.95,2.18,0.68,8.51,10,1.5,17.645,0.749,1.33,1.35,0.082,0.078,0.213,1.01,0.48,0.146,0.563,0.055,1.91,0.199,0.073,0.046,0.005,0.028,0.532,0.889,0.026,0.012,0.386,0.31,0.097,0.01,0.013,0.259,0.009,0.006,0.009,0.12,0.003,0.009,0.016,0.091,0.026,0.015,0.021,0.045,0.013,0.302,0.043,0.227,0.182,0.015,0.023,0.105,0.044,0.002,0.208,0.075,0.146,0,0.008,0.003,0.01,0.026,0.008,0.047,0.026,0.022,0.041,0.006,0.001,0.018,0.01,0.013,0.003,0.032,0.015,0,0.009,0.017,0.012,0.013,0.003,0.005,0.231,0.083,0.006,0.042,0.023,0.052,0.03,0.011,0.009,0.002,0.012,0.279,0.007,0.033,0.003,0.451,0.007,0.006,0.005,0.006,0.002,0.004,0.012,0.012,0.002,0.002,0.016,0.159,0.001,0.005,0.067,0.067,0.002,0.057,0.015,0,0.009,0.003,0.453,0.009,0.021,0.016,0.033,0.015,0.004,0.189,0.174,0.002,0.002,0.003,0.052,0.003,0.021,0.056,0.243,0.053,0.088,0.04,0.069,0.038,0.023,0.052,0.019,0.103,0.031,0.009,0.005,0.005,0.02,0.014,0.006,0.006,0.016,0.017,0.011,0.018,0.006,0.01,0.014,0.002,0.01,0.013,0.012,0.019,0.032,0.173,0.001,0.007,0.007,0.002,0.001,0.004,0.032,0.117,0.002,0.005,0.004,0.004,0.007,0.002,0.006,0.004,0.146,0.013,0.025,0.01,0.019,0.005,0.007,0.016,0.009,0,0.013,0.015,0.055,0.014,0.019,0.163
7,Woody RSC,CWDRSC,1408,229,13.94,0,0,33,38.9,0.48,45.175,0.723,2.124,3.517,0.293,0,0.207,1.398,2.723,0.406,1.546,0.019,1.837,0,0.044,0.063,0.091,0.019,1.06,0.802,0.027,0.023,0.472,1.548,0.286,0.093,0.017,0.069,0.045,0.002,0.007,0.147,0.004,0.008,0.112,0.248,0.171,0.089,0.069,0.195,0.021,0.855,0.081,0.194,0.588,0.003,0.048,0.323,0.114,0.001,0.204,0.013,0.54,0,0.015,0.005,0.01,0.09,0.005,0.374,0.052,0.032,0.07,0.007,0.007,0.065,0.046,0.04,0.025,0.021,0.072,0.001,0.03,0.095,0.008,0.059,0.436,0.189,1.028,0.281,0.24,0.083,0.062,0.072,0.06,0.028,0.011,0.006,0.043,0.067,0.023,0.07,0.035,0.803,0.005,0.019,0.019,0.008,0.004,0.012,0.009,0.031,0.021,0.002,0.004,0.646,0.009,0.004,0.114,0.118,0.004,0.13,0.041,0,0.061,0.011,0.15,0.036,0.194,0.075,0.059,0.023,0.014,3.273,0.579,0.003,0.001,0.019,0.089,0.009,0.043,0.124,0.544,0.072,0.064,0.111,0.286,0.072,0.057,0.066,0.036,0.268,0.04,0.013,0.005,0.007,0.034,0.02,0.012,0.018,0.067,0.124,0.02,0.167,0.006,0.031,0.025,0.007,0.025,0.034,0.027,0.046,0.066,0.645,0,0.014,0.015,0.005,0,0.008,0.03,0.422,0.007,0.017,0.018,0.015,0.025,0.005,0.018,0.01,0.82,0.316,2.647,0.058,0.03,0.003,0.01,2.65,0.361,0.011,0.036,0.027,0.274,0.045,0.05,0.095
8,Duff RSC,DuffRSC,1371,257,7.945,0.67,1.76,35.3,41.654,2.67,61.696,1.988,2.4765,4.6775,0.271,1.0945,0.157,1.4645,2.12,0.739,2.7,0.495,7.3995,3.72,0.049,0,0.09,0.042,1.7905,0.797,0.151,0.024,0.59,1.39,0.353,0.153,0.024,0.277,0.269,0.009,0.018,0.293,0,0.014,0.125,0.311,0.246,0.098,0.238,0.479,0.051,1.265,0.102,0.421,0.494,0,0.114,0.422,0.092,0.006,1.18,0.201,0.694,0,0.045,0.016,0.002,0.125,0.012,0.079,0.054,0.036,0.06,0.012,0.012,0.083,0.026,0.033,0.01,0.049,0.027,0.005,0.136,0.212,0.015,0.073,0.008,0.015,3.78,0.199,0.023,0.092,0.039,0.097,0.065,0.044,0.009,0,0.059,0.647,0.019,0.076,0.004,0.586,0.016,0.028,0.031,0.021,0.004,0.008,0.019,0.015,0.001,0.004,0.016,0.537,0.004,0.028,0.117,0.011,0.006,0.01,0.005,0.002,0.11,0.014,2.6405,0.048,0.076,0.159,0.054,0.01,0.021,2.69,0.488,0.005,0.002,0.01,0.088,0.009,0.048,0.101,0.583,0.043,0.117,0.104,0.178,0.101,0.05,0.087,0.039,0.908,0.051,0.01,0.001,0.004,0.034,0.019,0.009,0.013,0.043,0.056,0.012,0.029,0.006,0.012,0.021,0,0.023,0.023,0.024,0.038,0.052,0.815,0.002,0.006,0.007,0.002,0,0.002,0.005,0.059,0,0.008,0.002,0.002,0.013,0.002,0.003,0.002,0.695,0.092,0.085,0.036,0.023,0.004,0.007,0.084,0.081,0.002,0.022,0.027,0.228,0.036,0.043,0.095

