# ,,,,,,,,,,
# FOFEM Mortality Species Equation File ,,,,,,,,,,
# Sep 11 2018,,,,,,,,,,
# This file is used in conjunction with the FOFEM tree mortality option,,,,,,,,,,
# Seq = Sequence number - helps order file ,,,,,,,,,,
# Species = Species code,,,,,,,,,,
# Sci-Name = Scientific name,,,,,,,,,,
# Com-Name = Common name,,,,,,,,,,
# Mort = Mortality equation identifiers,,,,,,,,,,
#           Crown Scorch Equations (CRNSCH):   1 -> 99,,,,,,,,,,
#           Bole Char Equations (BOLCHR):   100->110,,,,,,,,,,
#           Crown Damage/Cambium/Beetle Equations (CRCABE):   2 alpha characters,,,,,,,,,,
# Brk  = Bark Equation,,,,,,,,,,
# Crn  = Crown Coefficient code used to calculate stand canopy cover,,,,,,,,,,
# Reg  = Region,,,,,,,,,,
#            IW -   Interior West,,,,,,,,,,
#            PW - Pacific West,,,,,,,,,,
#            NE - North East,,,,,,,,,,
#            SE - South East,,,,,,,,,,
# ,,,,,,,,,,
#Seq,Species,Sci-Name,Com-Name, Mort,Brk,Crn,IW,PW,NE,SE
10,ABAM,Abies amabilis,Pacific silver fir,1,26,1,-1,2,-1,-1
20,ABBA,Abies balsamea,Balsam fir,1,10,2,1,-1,3,4
30,ABBAB,Abies balsamea,Balsam fir,1,10,2,1,-1,3,4
40,ABBAP,Abies balsamea,Balsam fir,1,10,2,1,-1,3,4
50,ABLAL,Abies balsamea,Balsam fir,1,10,2,1,-1,3,4
60,ABCO,Abies concolor,White fir,10,27,2,1,2,-1,-1
70,ABCO,Abies concolor,White fir,WF,27,2,1,2,-1,-1
80,ABCOC,Abies concolor,White fir,10,27,2,1,2,-1,-1
90,ABCOC,Abies concolor,White fir,WF,27,2,1,2,-1,-1
100,ABLO,Abies lowiana,Sierra white fir,10,27,2,1,2,-1,-1
110,ABLO,Abies lowiana,Sierra white fir,WF,27,2,1,2,-1,-1
120,ABGR,Abies grandis,Grand fir,11,25,3,1,2,-1,-1
130,ABGR,Abies grandis,Grand fir,SF,25,3,1,2,-1,-1
140,ABGRI2,Abies grandis,Grand fir,11,25,3,1,2,-1,-1
150,ABGRI2,Abies grandis,Grand fir,SF,25,3,1,2,-1,-1
160,ABGRG,Abies grandis,Grand fir,11,25,3,1,2,-1,-1
170,ABGRG,Abies grandis,Grand fir,SF,25,3,1,2,-1,-1
